#TIME	REQUESTED	accelerate	bash	conda	pip3	python	sps	tmux: client	tmux: server	zsh
1305	16	0	0	0	0.0363372	0.0179228	0.0139676	0	3.5978e-08	0.00101128
1306	16	0	0	0	0.0339674	0.0164696	0.0139567	0	3.59779e-08	0.00100998
1307	16	0	0	0	0.0325521	0.0160256	0.0139581	0	3.59779e-08	0.00100912
1308	16	0	0	0	0.0306373	0.015253	0.0139537	0	3.72629e-08	0.00100782
1309	16	0	0	0	0.0300481	0.0148983	0.0139608	0	3.72629e-08	0.00100739
1310	16	0	0	0	0.0289352	0.0145833	0.0139622	0	3.72628e-08	0.00100653
1311	16	0	0	0	0.0274123	0.0139974	0.0139514	0	3.72628e-08	0.00100525
1312	16	0	0	0	0.0264831	0.0134375	0.0139527	0	3.72628e-08	0.00100439
1313	16	0	0	0	0.0252016	0.0126769	0.0139484	0	3.72628e-08	0.00100311
1314	16	0	0	0	0.0248016	0.0127315	0.0139491	0	3.72628e-08	0.00100268
1315	16	0	0	0	0.0240385	0.0133929	0.0139504	0	3.72628e-08	0.00100183
1316	16	0	0	0	0.0229779	0.0129767	0.0139461	0	3.72628e-08	0.00100055
1317	16	0	0	0	0.0223214	0.0130635	0.0139474	0	3.72628e-08	0.000999705
1318	16	0	0	0	0.0214041	0.0131836	0.0139367	0	3.72628e-08	0.000998435
1319	16	0	0	0	0.0211149	0.0137019	0.0139502	0	3.72628e-08	0.000998013
1320	16	0	0	0	0.0205592	0.0139925	0.0139452	0	3.72628e-08	0.000997169
1321	16	0	0	0	0.0197785	0.0138393	0.0139408	0	3.72628e-08	0.000995905
1322	16	0	0	0	0.0195312	0.0145246	0.0139415	0	3.72628e-08	0.000995485
1323	16	0	0	0	0.0186012	0.014375	0.0139315	0	3.72628e-08	0.000993807
1324	16	0	0	0	0.0183824	0.0150082	0.0139322	0	3.72628e-08	0.000993388
1325	16	0	0	0	0.0179598	0.0152244	0.01394	0	3.72627e-08	0.000992552
1326	16	0	0	0	0.0173611	0.0152392	0.0139293	0	3.72627e-08	0.0009913
1327	16	0	0	0	0.017342	0.0152439	0.0139363	0	3.72627e-08	0.000990883
1328	16	0	0	0	0.0166118	0.0148983	0.0139264	0	3.72627e-08	0.000989221
1329	16	0	0	0	0.0164388	0.0149066	0.013927	0	3.72627e-08	0.000988806
1330	16	0	0	0	0.0159407	0.0144097	0.0139228	0	3.72627e-08	0.000987563
1331	16	0	0	0	0.015625	0.0142663	0.0139241	0	3.72627e-08	0.000986737
1332	16	0	0	0	0.026348	0	0.0139248	0	3.72627e-08	0.000986324
1333	16	0	0	0	0.036704	0	0.0139213	0	3.85476e-08	0.000984677
1334	16	0	0	0	0	0	0.0139156	0	3.85476e-08	0.000997535
1335	16	0	0	0	0	0	0.013917	0	3.85476e-08	0.000996703
1336	16	0	0	0	0	0	0.0139128	0	3.85476e-08	0.000995457
1337	16	0	0	0	0	0	0.0139198	0	3.85476e-08	0.000995043
1338	16	0	0	0	0	0	0.0139092	0	3.85476e-08	0.000993801
1339	16	0	0	0	0	0	0.0139106	0	3.85476e-08	0.000992975
1340	16	0	0	0	0	0	0.0139057	0	3.85476e-08	0.000992151
1341	16	0	0	0	0	0	0.0139078	0	3.85476e-08	0.000990916
1342	16	0	0	0	0	0	0.0139085	0	3.85476e-08	0.000990505
1343	16	0	0	0	0	0	0.0139098	0	3.85475e-08	0.000989685
1344	16	0	0	0	0	0	0.0138993	0	3.85475e-08	0.000988456
1345	16	0	0	0	0	0	0.0139063	0	3.85475e-08	0.000988048
1346	16	0	0	0	0	0	0.0138903	0	3.85475e-08	0.000986416
1347	16	0	0	0	0	0	0.0138972	0	3.85475e-08	0.000986009
1348	16	0	0	0	0	0	0.0138986	0	3.85475e-08	0.000985196
1349	16	0	0	0	0	0	0.0138944	0	3.85475e-08	0.000983979
1350	16	0	0	0	0	0	0.0138951	0	3.85475e-08	0.000983574
1351	16	0.859375	0	0	0	0	0.0138965	0	3.85475e-08	0.0010089
1352	16	1.28516	0	0	0	0	0.0138924	0	3.85475e-08	0.00100766
1353	16	1.09635	0	0	0	0	0.0138937	0	3.85475e-08	0.00100683
1354	16	1.01339	0	0	0	1.21875	0.0138944	0	3.85475e-08	0.00100642
1355	16	0.709375	0	0	0	0.761719	0.0138903	0	3.85475e-08	0.00100518
1356	16	0.591146	0	0	0	0.739583	0.0138917	0	3.85475e-08	0.00100436
1357	16	0.506696	0	0	0	0.806641	0.013893	0	3.85474e-08	0.00100354
1358	16	0.417279	0	0	0	0.728693	0.0138827	0	3.85474e-08	0.00100231
1359	16	0.394097	0	0	0	0.755208	0.0138896	0	3.85474e-08	0.0010019
1360	16	0.354688	0	0	0	0.71317	0.0138971	0	3.85474e-08	0.00100108
1361	16	0.308424	0	0	0	0.609375	0.0138868	0	3.85474e-08	0.000999853
1362	16	0.295573	0	0	0	0.640625	0.0138875	0	3.85474e-08	0.000999445
1363	16	0.272837	0	0	0	0.644531	0.0138889	0	3.85474e-08	0.000998631
1364	16	0.244612	0	0	0	0.625679	0.0138848	0	3.85474e-08	0.000997412
